what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552552290
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627552561437
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552561692
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552561786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552593219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552596696
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627552599131
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552599736
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552599824
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552617941
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552620448
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552623484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552625405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552669692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1627552680691
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1627552681433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552681771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552690075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552840915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552849165
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1627552874374
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627552876332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552920886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627552964932
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1627553008220
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1627553008533
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1627553008642
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1627553010381
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1627553010653
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1627553010787
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1627553039442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553048846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553069650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553077400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553135386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627553137683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553194837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553195554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553195774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553197466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553198395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553200338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553201654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553202444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553204375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553204963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627553206134
