what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1627283078814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283079125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283091553
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1627283091694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283102339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283106183
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627283106524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283107129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283115702
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627283116697
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627283116976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1627283118505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283120852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283122957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1627283123153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283144767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627283156397
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627283157954
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627283158131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1627283159694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1627283161597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627283163822
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627283164037
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627283165096
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627283165303
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627283169214
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627283169440
