what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1627284505931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1627284529813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1627284530357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284531817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284532547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1627284532567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284539504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284570301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284574091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284574724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1627284574740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284579354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284580504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1627284580520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1627284584072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1627284584553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1627284628955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1627284629564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284634119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284640193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627284640301
