what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627568792806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568795574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568797463
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1627568799482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568799843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568804583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568809392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568819241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568823434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568825810
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1627568826384
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627568829500
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1627568829731
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1627568829736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568845778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568846731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568847308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568910917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627568917388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627569200501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627569202043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627569245277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627569245885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627569246902
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1627569247148
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627569247253
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1627569247727
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1627569247728
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1627569247728
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1627569248743
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1627569248743
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1627569248743
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1627569248743
