what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288874040
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627288874072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627288875090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288878413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288881220
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1627288881754
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627288884847
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1627288886391
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627288891752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288900249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288923766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627288923816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1627288930977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1627288935234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288936905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288961840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627288986458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289021560
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627289022793
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627289024656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1627289043191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289234864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289240968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627289242054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289244256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289248492
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1627289249059
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627289252733
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627289253145
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627289296457
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627289296684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289313847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289314740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1627289334746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289341539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289345577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289346478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289351274
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627289352074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289354706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289359198
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1627289359779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289361147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289362612
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627289363038
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1627289364595
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627289369975
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627289514238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1627289522322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289528871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289533350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289534414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289536121
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627289537525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289540023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289544384
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1627289544907
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627289548023
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1627289549560
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1627289555034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289674482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289712071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627289714229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627290883043
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1627290888628
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1627290888857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627290896531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627290951149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627290953237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1627291013355
